id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style
366,Legal,compliance,record keeping workflow,What does the document say about record keeping workflow?,The passage states that record keeping workflow is linked to guideline number 11. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping workflow is linked to guideline number 11, and the passage also mentions a exception clause.","Since record keeping workflow mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
367,Travel,planning,itinerary overview,"According to the provided context, what is the key point about itinerary overview?",The document explains that itinerary overview is linked to threshold number 8. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary overview is linked to threshold number 8, and the passage also mentions a best practice.",The key point is that itinerary overview is linked to threshold number 8.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
368,Travel,safety,emergency contacts,Summarize the main fact about emergency contacts from the passage.,The document explains that emergency contacts is linked to threshold number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to threshold number 17, and the passage also mentions a weekly review.","The key point is that emergency contacts is linked to threshold number 17, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
369,Sports,team strategy,set pieces,What is the correct answer regarding set pieces?,The context indicates that set pieces is linked to comparison number 17. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the team strategy use case.,"The key point is that set pieces is linked to comparison number 17, and the passage also mentions a best practice.",The key point is that set pieces is linked to comparison number 17.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
370,Healthcare,lab results,anemia benchmark,Summarize the main fact about anemia benchmark from the passage.,The passage states that anemia benchmark is linked to causal factor number 7. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia benchmark is linked to causal factor number 7, and the passage also mentions a risk factor.","The key point is that anemia benchmark is linked to causal factor number 7, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket
371,Technology,networking,latency,What is the correct answer regarding latency?,The source says that latency is linked to guideline number 1. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to guideline number 1, and the passage also mentions a risk factor.","The key point is that latency is linked to guideline number 1, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
372,Environment,water,contamination,"According to the provided context, what is the key point about contamination?",The passage states that contamination is linked to comparison number 6. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination is linked to comparison number 6, and the passage also mentions a priority order.",The key point is that contamination is linked to comparison number 6.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
373,Environment,energy,solar adoption overview,What does the document say about solar adoption overview?,The source says that solar adoption overview is linked to causal factor number 13. A time window is also mentioned in the same passage. The document keeps the explanation focused on the energy use case.,"The key point is that solar adoption overview is linked to causal factor number 13, and the passage also mentions a time window.",The key point is that solar adoption overview is linked to causal factor number 13.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
374,Environment,water,contamination policy,Which detail is supported by the context for contamination policy?,The evidence shows that contamination policy is linked to guideline number 7. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination policy is linked to guideline number 7, and the passage also mentions a verification step.","The key point is that contamination policy is not linked to guideline number 7; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
375,Legal,compliance,record keeping guidance,Summarize the main fact about record keeping guidance from the passage.,The evidence shows that record keeping guidance is linked to guideline number 1. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping guidance is linked to guideline number 1, and the passage also mentions a exception clause.","The key point is that record keeping guidance is linked to guideline number 1, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
376,Finance,banking,loan repayment,Which detail is supported by the context for loan repayment?,The source says that loan repayment is linked to warning sign number 5. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment is linked to warning sign number 5, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that loan repayment is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
377,Business,operations,inventory turnover policy,Which detail is supported by the context for inventory turnover policy?,The context indicates that inventory turnover policy is linked to guideline number 9. A time window is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover policy is linked to guideline number 9, and the passage also mentions a time window.","The key point is that inventory turnover policy is linked to guideline number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
378,Sports,match analysis,possession policy,What does the document say about possession policy?,The document explains that possession policy is linked to recommended action number 5. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession policy is linked to recommended action number 5, and the passage also mentions a exception clause.","The key point is that possession policy is not linked to recommended action number 5; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
379,History,conflict,world war II policy,"According to the provided context, what is the key point about world war II policy?",The passage states that world war II policy is linked to increase number 9. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II policy is linked to increase number 9, and the passage also mentions a exception clause.",The key point is that world war II policy is linked to increase number 9.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
380,Technology,networking,latency,What is the correct answer regarding latency?,The source says that latency is linked to recommended action number 3. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to recommended action number 3, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that latency is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
381,Business,strategy,market positioning,What does the document say about market positioning?,The source says that market positioning is linked to increase number 9. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to increase number 9, and the passage also mentions a weekly review.","The key point is that market positioning is not linked to increase number 9; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
382,Legal,consumer rights,refund policy overview,What is the correct answer regarding refund policy overview?,The context indicates that refund policy overview is linked to recommended action number 14. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy overview is linked to recommended action number 14, and the passage also mentions a risk factor.","The key point is that refund policy overview is linked to recommended action number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
383,Food,food safety,storage temperature,Which detail is supported by the context for storage temperature?,The document explains that storage temperature is linked to comparison number 7. A time window is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature is linked to comparison number 7, and the passage also mentions a time window.",The key point is that storage temperature is linked to comparison number 7.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
384,Food,recipe,baking,What does the document say about baking?,The document explains that baking is linked to decrease number 6. A required step is also mentioned in the same passage. The document keeps the explanation focused on the recipe use case.,"The key point is that baking is linked to decrease number 6, and the passage also mentions a required step.","Since baking mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note
385,History,conflict,world war II,What does the document say about world war II?,The evidence shows that world war II is linked to procedure number 7. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to procedure number 7, and the passage also mentions a follow-up action.","The key point is that world war II is linked to procedure number 7, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article
386,Science,biology,photosynthesis,Which detail is supported by the context for photosynthesis?,The evidence shows that photosynthesis is linked to procedure number 12. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis is linked to procedure number 12, and the passage also mentions a weekly review.","Since photosynthesis mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
387,Travel,budget travel,daily spending,What does the document say about daily spending?,The document explains that daily spending is linked to procedure number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to procedure number 10, and the passage also mentions a weekly review.",The key point is that daily spending is linked to procedure number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
388,Sports,statistics,win rate overview,Which detail is supported by the context for win rate overview?,The source says that win rate overview is linked to decrease number 7. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate overview is linked to decrease number 7, and the passage also mentions a estimated cost.","The key point is that win rate overview is linked to decrease number 7, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
389,Travel,planning,itinerary benchmark,What is the correct answer regarding itinerary benchmark?,The passage states that itinerary benchmark is linked to decrease number 1. A time window is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary benchmark is linked to decrease number 1, and the passage also mentions a time window.","The key point is that itinerary benchmark is linked to decrease number 1, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
390,Education,concept,machine learning workflow,"According to the provided context, what is the key point about machine learning workflow?",The passage states that machine learning workflow is linked to guideline number 9. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning workflow is linked to guideline number 9, and the passage also mentions a exception clause.","The key point is that machine learning workflow is not linked to guideline number 9; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article
391,Business,strategy,market positioning,"According to the provided context, what is the key point about market positioning?",The passage states that market positioning is linked to warning sign number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to warning sign number 2, and the passage also mentions a follow-up action.","The key point is that market positioning is linked to warning sign number 2, and the passage also mentions a follow-up action.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
392,Food,cooking,spices,"According to the provided context, what is the key point about spices?",The context indicates that spices is linked to decrease number 6. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices is linked to decrease number 6, and the passage also mentions a estimated cost.","The key point is that spices is linked to decrease number 6, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
393,Education,assignment,research methods workflow,Which detail is supported by the context for research methods workflow?,The document explains that research methods workflow is linked to threshold number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods workflow is linked to threshold number 15, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that research methods workflow is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
394,Legal,employment,notice period,"According to the provided context, what is the key point about notice period?",The passage states that notice period is linked to warning sign number 13. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period is linked to warning sign number 13, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
395,Healthcare,prevention,influenza,Which detail is supported by the context for influenza?,The document explains that influenza is linked to deadline number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza is linked to deadline number 15, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that influenza is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
396,Healthcare,diagnosis,type 2 diabetes,"According to the provided context, what is the key point about type 2 diabetes?",The source says that type 2 diabetes is linked to causal factor number 2. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to causal factor number 2, and the passage also mentions a estimated cost.","The key point is that type 2 diabetes is not linked to causal factor number 2; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
397,Science,physics,force and motion guidance,What is the correct answer regarding force and motion guidance?,The evidence shows that force and motion guidance is linked to recommended action number 6. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion guidance is linked to recommended action number 6, and the passage also mentions a exception clause.",The key point is that force and motion guidance is linked to recommended action number 6.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
398,Environment,air quality,particulate matter,Which detail is supported by the context for particulate matter?,The evidence shows that particulate matter is linked to causal factor number 7. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter is linked to causal factor number 7, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
399,Education,assignment,research methods,Which detail is supported by the context for research methods?,The passage states that research methods is linked to warning sign number 11. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods is linked to warning sign number 11, and the passage also mentions a verification step.",The key point is that research methods is linked to warning sign number 11.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
400,History,leader,mauryan empire,Summarize the main fact about mauryan empire from the passage.,The evidence shows that mauryan empire is linked to guideline number 3. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to guideline number 3, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
401,Technology,machine learning,overfitting,What is the correct answer regarding overfitting?,The source says that overfitting is linked to increase number 17. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to increase number 17, and the passage also mentions a follow-up action.","Since overfitting mentions a follow-up action, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
402,Sports,player performance,stamina,"According to the provided context, what is the key point about stamina?",The context indicates that stamina is linked to decrease number 13. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina is linked to decrease number 13, and the passage also mentions a exception clause.","The key point is that stamina is linked to decrease number 13, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
403,Technology,software design,API rate limiting,"According to the provided context, what is the key point about API rate limiting?",The document explains that API rate limiting is linked to threshold number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the software design use case.,"The key point is that API rate limiting is linked to threshold number 15, and the passage also mentions a best practice.","The key point is that API rate limiting is linked to threshold number 15, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
404,Environment,air quality,particulate matter benchmark,Which detail is supported by the context for particulate matter benchmark?,The passage states that particulate matter benchmark is linked to recommended action number 16. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter benchmark is linked to recommended action number 16, and the passage also mentions a follow-up action.","Since particulate matter benchmark mentions a follow-up action, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
405,Science,earth science,climate patterns,What is the correct answer regarding climate patterns?,The context indicates that climate patterns is linked to guideline number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns is linked to guideline number 12, and the passage also mentions a best practice.",The key point is that climate patterns is linked to guideline number 12.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
406,Travel,safety,emergency contacts,Which detail is supported by the context for emergency contacts?,The source says that emergency contacts is linked to comparison number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to comparison number 11, and the passage also mentions a follow-up action.","Since emergency contacts mentions a follow-up action, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
407,Science,earth science,climate patterns benchmark,What is the correct answer regarding climate patterns benchmark?,The passage states that climate patterns benchmark is linked to causal factor number 9. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns benchmark is linked to causal factor number 9, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
408,History,event,industrial revolution guidance,What is the correct answer regarding industrial revolution guidance?,The document explains that industrial revolution guidance is linked to increase number 7. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution guidance is linked to increase number 7, and the passage also mentions a weekly review.",The key point is that industrial revolution guidance is linked to increase number 7.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
409,Healthcare,prevention,influenza,Summarize the main fact about influenza from the passage.,The source says that influenza is linked to decrease number 10. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza is linked to decrease number 10, and the passage also mentions a risk factor.",The key point is that influenza is linked to decrease number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
410,Legal,employment,notice period,What does the document say about notice period?,The evidence shows that notice period is linked to comparison number 2. A time window is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period is linked to comparison number 2, and the passage also mentions a time window.",The key point is that notice period is linked to comparison number 2.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
411,Environment,climate,carbon emissions,What is the correct answer regarding carbon emissions?,The context indicates that carbon emissions is linked to increase number 9. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to increase number 9, and the passage also mentions a verification step.",The key point is that carbon emissions is linked to increase number 9.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
412,Legal,employment,notice period,What does the document say about notice period?,The passage states that notice period is linked to recommended action number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period is linked to recommended action number 6, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that notice period is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article
413,Environment,air quality,particulate matter workflow,Which detail is supported by the context for particulate matter workflow?,The passage states that particulate matter workflow is linked to deadline number 11. A time window is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter workflow is linked to deadline number 11, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
414,Technology,networking,latency benchmark,Summarize the main fact about latency benchmark from the passage.,The document explains that latency benchmark is linked to deadline number 16. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency benchmark is linked to deadline number 16, and the passage also mentions a risk factor.","The key point is that latency benchmark is not linked to deadline number 16; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
415,Legal,intellectual property,copyright overview,Which detail is supported by the context for copyright overview?,The passage states that copyright overview is linked to decrease number 4. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright overview is linked to decrease number 4, and the passage also mentions a risk factor.","The key point is that copyright overview is not linked to decrease number 4; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article
416,Education,concept,machine learning,Summarize the main fact about machine learning from the passage.,The source says that machine learning is linked to decrease number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning is linked to decrease number 12, and the passage also mentions a best practice.","The key point is that machine learning is not linked to decrease number 12; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note
417,Finance,budgeting,monthly expenses guidance,What does the document say about monthly expenses guidance?,The passage states that monthly expenses guidance is linked to deadline number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses guidance is linked to deadline number 2, and the passage also mentions a follow-up action.","The key point is that monthly expenses guidance is linked to deadline number 2, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
418,Business,product,feature prioritization policy,What does the document say about feature prioritization policy?,The document explains that feature prioritization policy is linked to procedure number 3. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the product use case.,"The key point is that feature prioritization policy is linked to procedure number 3, and the passage also mentions a risk factor.","The key point is that feature prioritization policy is not linked to procedure number 3; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article
419,Business,strategy,market positioning,Which detail is supported by the context for market positioning?,The evidence shows that market positioning is linked to decrease number 8. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to decrease number 8, and the passage also mentions a weekly review.","The key point is that market positioning is linked to decrease number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
420,History,culture,trade routes,Summarize the main fact about trade routes from the passage.,The passage states that trade routes is linked to guideline number 13. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to guideline number 13, and the passage also mentions a verification step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
421,Sports,tactics,pressing policy,Which detail is supported by the context for pressing policy?,The source says that pressing policy is linked to deadline number 8. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the tactics use case.,"The key point is that pressing policy is linked to deadline number 8, and the passage also mentions a estimated cost.","The key point is that pressing policy is not linked to deadline number 8; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
422,Technology,cloud,auto scaling,Summarize the main fact about auto scaling from the passage.,The document explains that auto scaling is linked to procedure number 17. A time window is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to procedure number 17, and the passage also mentions a time window.","The key point is that auto scaling is linked to procedure number 17, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
423,Food,nutrition,protein intake benchmark,What is the correct answer regarding protein intake benchmark?,The source says that protein intake benchmark is linked to guideline number 8. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake benchmark is linked to guideline number 8, and the passage also mentions a exception clause.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
424,History,movement,civil rights overview,"According to the provided context, what is the key point about civil rights overview?",The source says that civil rights overview is linked to comparison number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights overview is linked to comparison number 6, and the passage also mentions a risk factor.","The key point is that civil rights overview is linked to comparison number 6, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
425,Travel,budget travel,daily spending,Summarize the main fact about daily spending from the passage.,The passage states that daily spending is linked to deadline number 11. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to deadline number 11, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that daily spending is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
426,Healthcare,medication,asthma,Summarize the main fact about asthma from the passage.,The evidence shows that asthma is linked to procedure number 5. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma is linked to procedure number 5, and the passage also mentions a priority order.",The key point is that asthma is linked to procedure number 5.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
427,Education,course selection,statistics benchmark,What is the correct answer regarding statistics benchmark?,The context indicates that statistics benchmark is linked to guideline number 16. A time window is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics benchmark is linked to guideline number 16, and the passage also mentions a time window.","The key point is that statistics benchmark is linked to guideline number 16, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
428,Technology,networking,latency,Summarize the main fact about latency from the passage.,The source says that latency is linked to warning sign number 5. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to warning sign number 5, and the passage also mentions a estimated cost.","The key point is that latency is linked to warning sign number 5, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article
429,Travel,safety,emergency contacts,Summarize the main fact about emergency contacts from the passage.,The evidence shows that emergency contacts is linked to recommended action number 9. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to recommended action number 9, and the passage also mentions a priority order.",The key point is that emergency contacts is linked to recommended action number 9.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
430,Science,physics,force and motion overview,Which detail is supported by the context for force and motion overview?,The evidence shows that force and motion overview is linked to comparison number 11. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion overview is linked to comparison number 11, and the passage also mentions a risk factor.","The key point is that force and motion overview is linked to comparison number 11, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
431,Finance,banking,loan repayment guidance,What does the document say about loan repayment guidance?,The source says that loan repayment guidance is linked to causal factor number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment guidance is linked to causal factor number 10, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that loan repayment guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
432,Legal,privacy,data retention,Summarize the main fact about data retention from the passage.,The document explains that data retention is linked to causal factor number 12. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention is linked to causal factor number 12, and the passage also mentions a weekly review.","The key point is that data retention is linked to causal factor number 12, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
433,Legal,consumer rights,refund policy policy,What does the document say about refund policy policy?,The context indicates that refund policy policy is linked to deadline number 17. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy policy is linked to deadline number 17, and the passage also mentions a estimated cost.",The key point is that refund policy policy is linked to deadline number 17.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
