id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label
72,Business,HR,employee onboarding,What does the document say about employee onboarding?,The document explains that employee onboarding is linked to recommended action number 1. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding is linked to recommended action number 1, and the passage also mentions a exception clause.","The key point is that employee onboarding is not linked to recommended action number 1; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that employee onboarding is not linked to recommended action number 1; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989938139915466, 'entailment': 0.0005393822793848813, 'neutral': 0.00046682675019837916}}]",CONTRADICTED
73,Legal,consumer rights,refund policy,What is the correct answer regarding refund policy?,The context indicates that refund policy is linked to decrease number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy is linked to decrease number 2, and the passage also mentions a weekly review.","The key point is that refund policy is not linked to decrease number 2; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that refund policy is not linked to decrease number 2; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9981343150138855, 'neutral': 0.001201014150865376, 'entailment': 0.0006646550027653575}}]",CONTRADICTED
74,Education,learning strategy,note taking,Which detail is supported by the context for note taking?,The source says that note taking is linked to deadline number 17. A time window is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking is linked to deadline number 17, and the passage also mentions a time window.","The key point is that note taking is not linked to deadline number 17; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that note taking is not linked to deadline number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9901278614997864, 'neutral': 0.009138389490544796, 'entailment': 0.0007336916751228273}}]",CONTRADICTED
75,Business,strategy,market positioning overview,Summarize the main fact about market positioning overview from the passage.,The evidence shows that market positioning overview is linked to deadline number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning overview is linked to deadline number 15, and the passage also mentions a required step.","The key point is that market positioning overview is linked to deadline number 15, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that market positioning overview is linked to deadline number 15, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5123726725578308, 'entailment': 0.4135870039463043, 'contradiction': 0.07404037564992905}}]",UNSUPPORTED
76,Healthcare,medication,asthma,What is the correct answer regarding asthma?,The source says that asthma is linked to recommended action number 13. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma is linked to recommended action number 13, and the passage also mentions a priority order.","The key point is that asthma is not linked to recommended action number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that asthma is not linked to recommended action number 13; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9975377321243286, 'neutral': 0.0015674264868721366, 'entailment': 0.0008947853348217905}}]",CONTRADICTED
77,Finance,credit,credit score,What is the correct answer regarding credit score?,The source says that credit score is linked to recommended action number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score is linked to recommended action number 4, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
78,Business,strategy,market positioning workflow,What does the document say about market positioning workflow?,The passage states that market positioning workflow is linked to procedure number 8. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning workflow is linked to procedure number 8, and the passage also mentions a priority order.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
79,History,conflict,world war II,"According to the provided context, what is the key point about world war II?",The document explains that world war II is linked to recommended action number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to recommended action number 4, and the passage also mentions a weekly review.","The key point is that world war II is linked to recommended action number 4, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that world war II is linked to recommended action number 4, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5949922800064087, 'neutral': 0.38395076990127563, 'contradiction': 0.021056972444057465}}]",SUPPORTED
80,Finance,credit,credit score,What does the document say about credit score?,The evidence shows that credit score is linked to guideline number 9. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score is linked to guideline number 9, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that credit score is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that credit score is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994364380836487, 'neutral': 0.0004183727432973683, 'entailment': 0.0001451339339837432}}]",CONTRADICTED
81,Business,sales,conversion rate,Summarize the main fact about conversion rate from the passage.,The context indicates that conversion rate is linked to comparison number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate is linked to comparison number 3, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
82,Food,meal planning,portion control,Summarize the main fact about portion control from the passage.,The passage states that portion control is linked to recommended action number 2. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control is linked to recommended action number 2, and the passage also mentions a priority order.","Since portion control mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket,"[{'claim': 'Since portion control mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9618036150932312, 'contradiction': 0.02885623276233673, 'entailment': 0.009340086951851845}}]",UNSUPPORTED
83,Technology,machine learning,overfitting,Summarize the main fact about overfitting from the passage.,The document explains that overfitting is linked to causal factor number 5. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to causal factor number 5, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that overfitting is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note,"[{'claim': 'The answer concerns an unrelated topic and says that overfitting is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993324875831604, 'neutral': 0.0006108589586801827, 'entailment': 5.655626955558546e-05}}]",CONTRADICTED
84,Sports,match analysis,possession,"According to the provided context, what is the key point about possession?",The source says that possession is linked to procedure number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession is linked to procedure number 17, and the passage also mentions a weekly review.","The key point is that possession is linked to procedure number 17, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that possession is linked to procedure number 17, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.643120527267456, 'neutral': 0.3401769995689392, 'contradiction': 0.016702454537153244}}]",SUPPORTED
85,Sports,tactics,pressing,What does the document say about pressing?,The passage states that pressing is linked to warning sign number 5. A required step is also mentioned in the same passage. The document keeps the explanation focused on the tactics use case.,"The key point is that pressing is linked to warning sign number 5, and the passage also mentions a required step.","The key point is that pressing is linked to warning sign number 5, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that pressing is linked to warning sign number 5, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9638681411743164, 'contradiction': 0.035536989569664, 'entailment': 0.0005948968464508653}}]",UNSUPPORTED
86,Technology,machine learning,overfitting overview,"According to the provided context, what is the key point about overfitting overview?",The evidence shows that overfitting overview is linked to guideline number 16. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting overview is linked to guideline number 16, and the passage also mentions a follow-up action.","The key point is that overfitting overview is not linked to guideline number 16; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that overfitting overview is not linked to guideline number 16; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999560534954071, 'neutral': 0.00026404569507576525, 'entailment': 0.00017534632934257388}}]",CONTRADICTED
87,Sports,training,recovery,"According to the provided context, what is the key point about recovery?",The document explains that recovery is linked to increase number 6. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to increase number 6, and the passage also mentions a priority order.",The key point is that recovery is linked to increase number 6.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket,"[{'claim': 'The key point is that recovery is linked to increase number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8696446418762207, 'entailment': 0.07029949128627777, 'contradiction': 0.060055870562791824}}]",UNSUPPORTED
88,Science,astronomy,exoplanets policy,Which detail is supported by the context for exoplanets policy?,The context indicates that exoplanets policy is linked to recommended action number 13. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets policy is linked to recommended action number 13, and the passage also mentions a risk factor.","The key point is that exoplanets policy is linked to recommended action number 13, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that exoplanets policy is linked to recommended action number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5529348254203796, 'entailment': 0.4222079813480377, 'contradiction': 0.024857209995388985}}]",UNSUPPORTED
89,Finance,budgeting,monthly expenses benchmark,"According to the provided context, what is the key point about monthly expenses benchmark?",The evidence shows that monthly expenses benchmark is linked to decrease number 9. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses benchmark is linked to decrease number 9, and the passage also mentions a estimated cost.","The key point is that monthly expenses benchmark is not linked to decrease number 9; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that monthly expenses benchmark is not linked to decrease number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994663596153259, 'neutral': 0.0003157324972562492, 'entailment': 0.00021794236090499908}}]",CONTRADICTED
90,Healthcare,diagnosis,type 2 diabetes,Summarize the main fact about type 2 diabetes from the passage.,The passage states that type 2 diabetes is linked to warning sign number 2. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to warning sign number 2, and the passage also mentions a verification step.","The key point is that type 2 diabetes is linked to warning sign number 2, and the passage also mentions a verification step.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that type 2 diabetes is linked to warning sign number 2, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9103941917419434, 'neutral': 0.08737850189208984, 'contradiction': 0.0022273114882409573}}]",SUPPORTED
91,Business,HR,employee onboarding,Summarize the main fact about employee onboarding from the passage.,The document explains that employee onboarding is linked to recommended action number 11. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding is linked to recommended action number 11, and the passage also mentions a verification step.","Since employee onboarding mentions a verification step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note,"[{'claim': 'Since employee onboarding mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9343756437301636, 'contradiction': 0.04891181364655495, 'entailment': 0.01671251468360424}}]",UNSUPPORTED
92,Legal,compliance,record keeping,"According to the provided context, what is the key point about record keeping?",The passage states that record keeping is linked to increase number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the compliance use case.,"The key point is that record keeping is linked to increase number 12, and the passage also mentions a best practice.","The key point is that record keeping is linked to increase number 12, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that record keeping is linked to increase number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9439751505851746, 'contradiction': 0.055366404354572296, 'entailment': 0.0006584514048881829}}]",UNSUPPORTED
93,Education,concept,machine learning,What does the document say about machine learning?,The document explains that machine learning is linked to comparison number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning is linked to comparison number 4, and the passage also mentions a weekly review.","Since machine learning mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since machine learning mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9538390636444092, 'contradiction': 0.0416109524667263, 'entailment': 0.004549948964267969}}]",UNSUPPORTED
94,Environment,wildlife,habitat loss,"According to the provided context, what is the key point about habitat loss?",The evidence shows that habitat loss is linked to comparison number 2. A required step is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss is linked to comparison number 2, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
95,Food,nutrition,protein intake,Which detail is supported by the context for protein intake?,The evidence shows that protein intake is linked to recommended action number 8. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake is linked to recommended action number 8, and the passage also mentions a best practice.","The key point is that protein intake is linked to recommended action number 8, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that protein intake is linked to recommended action number 8, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9559810161590576, 'contradiction': 0.04360753297805786, 'entailment': 0.00041146311559714377}}]",UNSUPPORTED
96,Science,chemistry,reaction rate,What is the correct answer regarding reaction rate?,The document explains that reaction rate is linked to increase number 9. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to increase number 9, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that reaction rate is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that reaction rate is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995635151863098, 'neutral': 0.00037848835927434266, 'entailment': 5.8040604926645756e-05}}]",CONTRADICTED
97,Sports,match analysis,possession overview,What does the document say about possession overview?,The passage states that possession overview is linked to decrease number 9. A required step is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession overview is linked to decrease number 9, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that possession overview is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that possession overview is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9976256489753723, 'neutral': 0.0021406766027212143, 'entailment': 0.00023365265224128962}}]",CONTRADICTED
98,Sports,statistics,win rate,"According to the provided context, what is the key point about win rate?",The passage states that win rate is linked to guideline number 12. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate is linked to guideline number 12, and the passage also mentions a follow-up action.",The key point is that win rate is linked to guideline number 12.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note,"[{'claim': 'The key point is that win rate is linked to guideline number 12.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.673325777053833, 'entailment': 0.22261320054531097, 'contradiction': 0.10406100004911423}}]",UNSUPPORTED
99,Environment,climate,carbon emissions,Which detail is supported by the context for carbon emissions?,The passage states that carbon emissions is linked to deadline number 12. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to deadline number 12, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
100,Sports,match analysis,possession,What does the document say about possession?,The document explains that possession is linked to decrease number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession is linked to decrease number 1, and the passage also mentions a estimated cost.","The key point is that possession is linked to decrease number 1, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that possession is linked to decrease number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9509633183479309, 'contradiction': 0.04846220463514328, 'entailment': 0.0005744977970607579}}]",UNSUPPORTED
101,Sports,statistics,win rate benchmark,What does the document say about win rate benchmark?,The context indicates that win rate benchmark is linked to deadline number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate benchmark is linked to deadline number 15, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that win rate benchmark is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that win rate benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987702965736389, 'neutral': 0.0009421693976037204, 'entailment': 0.0002875017235055566}}]",CONTRADICTED
102,Environment,climate,carbon emissions benchmark,Which detail is supported by the context for carbon emissions benchmark?,The passage states that carbon emissions benchmark is linked to threshold number 3. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions benchmark is linked to threshold number 3, and the passage also mentions a exception clause.",The key point is that carbon emissions benchmark is linked to threshold number 3.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt,"[{'claim': 'The key point is that carbon emissions benchmark is linked to threshold number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7670619487762451, 'entailment': 0.20134399831295013, 'contradiction': 0.03159398213028908}}]",UNSUPPORTED
103,Food,diet,fiber,Summarize the main fact about fiber from the passage.,The evidence shows that fiber is linked to comparison number 5. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber is linked to comparison number 5, and the passage also mentions a priority order.",The key point is that fiber is linked to comparison number 5.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket,"[{'claim': 'The key point is that fiber is linked to comparison number 5.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6936260461807251, 'entailment': 0.24744926393032074, 'contradiction': 0.05892464891076088}}]",UNSUPPORTED
104,Travel,planning,itinerary,"According to the provided context, what is the key point about itinerary?",The passage states that itinerary is linked to guideline number 16. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary is linked to guideline number 16, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that itinerary is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt,"[{'claim': 'The answer concerns an unrelated topic and says that itinerary is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9974579215049744, 'neutral': 0.0017221535090357065, 'entailment': 0.000819925859104842}}]",CONTRADICTED
105,Science,biology,photosynthesis,What does the document say about photosynthesis?,The context indicates that photosynthesis is linked to comparison number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis is linked to comparison number 10, and the passage also mentions a time window.","The key point is that photosynthesis is not linked to comparison number 10; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that photosynthesis is not linked to comparison number 10; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989268183708191, 'neutral': 0.0007309060310944915, 'entailment': 0.0003422435256652534}}]",CONTRADICTED
106,Business,HR,employee onboarding overview,What does the document say about employee onboarding overview?,The source says that employee onboarding overview is linked to threshold number 14. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding overview is linked to threshold number 14, and the passage also mentions a weekly review.","The key point is that employee onboarding overview is linked to threshold number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that employee onboarding overview is linked to threshold number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9697400331497192, 'contradiction': 0.02983158268034458, 'entailment': 0.0004284409515094012}}]",UNSUPPORTED
107,Food,food safety,storage temperature workflow,Summarize the main fact about storage temperature workflow from the passage.,The source says that storage temperature workflow is linked to decrease number 17. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature workflow is linked to decrease number 17, and the passage also mentions a exception clause.","The key point is that storage temperature workflow is linked to decrease number 17, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that storage temperature workflow is linked to decrease number 17, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5535584688186646, 'neutral': 0.43296149373054504, 'contradiction': 0.013480029068887234}}]",SUPPORTED
108,Education,assignment,research methods guidance,What does the document say about research methods guidance?,The evidence shows that research methods guidance is linked to deadline number 10. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods guidance is linked to deadline number 10, and the passage also mentions a verification step.",The answer concerns an unrelated topic and says that research methods guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note,"[{'claim': 'The answer concerns an unrelated topic and says that research methods guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9986697435379028, 'neutral': 0.0011967532336711884, 'entailment': 0.00013357431453187019}}]",CONTRADICTED
109,Environment,wildlife,habitat loss policy,Summarize the main fact about habitat loss policy from the passage.,The context indicates that habitat loss policy is linked to procedure number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss policy is linked to procedure number 15, and the passage also mentions a best practice.","Since habitat loss policy mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note,"[{'claim': 'Since habitat loss policy mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9490262269973755, 'contradiction': 0.04052603989839554, 'entailment': 0.010447714477777481}}]",UNSUPPORTED
110,Technology,networking,latency benchmark,What does the document say about latency benchmark?,The context indicates that latency benchmark is linked to comparison number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency benchmark is linked to comparison number 2, and the passage also mentions a weekly review.","The key point is that latency benchmark is linked to comparison number 2, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that latency benchmark is linked to comparison number 2, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6373850703239441, 'entailment': 0.35344162583351135, 'contradiction': 0.009173299185931683}}]",UNSUPPORTED
111,Food,diet,fiber workflow,What does the document say about fiber workflow?,The context indicates that fiber workflow is linked to causal factor number 3. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber workflow is linked to causal factor number 3, and the passage also mentions a risk factor.","Since fiber workflow mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since fiber workflow mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5939880609512329, 'contradiction': 0.37446609139442444, 'entailment': 0.031545836478471756}}]",UNSUPPORTED
112,Education,exam prep,linear algebra benchmark,What is the correct answer regarding linear algebra benchmark?,The source says that linear algebra benchmark is linked to guideline number 1. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra benchmark is linked to guideline number 1, and the passage also mentions a priority order.","Since linear algebra benchmark mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since linear algebra benchmark mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9846887588500977, 'contradiction': 0.011514198035001755, 'entailment': 0.0037970340345054865}}]",UNSUPPORTED
113,Environment,wildlife,habitat loss benchmark,Summarize the main fact about habitat loss benchmark from the passage.,The passage states that habitat loss benchmark is linked to comparison number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss benchmark is linked to comparison number 12, and the passage also mentions a best practice.","The key point is that habitat loss benchmark is linked to comparison number 12, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that habitat loss benchmark is linked to comparison number 12, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6454730033874512, 'neutral': 0.3510580062866211, 'contradiction': 0.0034689863678067923}}]",SUPPORTED
114,Healthcare,diagnosis,type 2 diabetes,"According to the provided context, what is the key point about type 2 diabetes?",The evidence shows that type 2 diabetes is linked to procedure number 4. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to procedure number 4, and the passage also mentions a verification step.",The answer concerns an unrelated topic and says that type 2 diabetes is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that type 2 diabetes is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991276860237122, 'neutral': 0.0006373616051860154, 'entailment': 0.00023496535141021013}}]",CONTRADICTED
