faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that contamination is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993916749954224, 'neutral': 0.00039762267260812223, 'entailment': 0.00021065973851364106}}]"
"[{'claim': 'The key point is that statistics workflow is not linked to increase number 13; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995831847190857, 'entailment': 0.00021176677546463907, 'neutral': 0.00020506045257207006}}]"
"[{'claim': 'The key point is that contamination workflow is not linked to deadline number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999036431312561, 'neutral': 0.0006523727206513286, 'entailment': 0.00031119814957492054}}]"
"[{'claim': 'The key point is that exoplanets overview is linked to comparison number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9353926777839661, 'contradiction': 0.06403195858001709, 'entailment': 0.000575369514990598}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that auto scaling is linked to threshold number 11, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5737587213516235, 'neutral': 0.41018232703208923, 'contradiction': 0.01605900190770626}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that fiber is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9990504384040833, 'neutral': 0.0007485217647626996, 'entailment': 0.00020105931616853923}}]"
"[{'claim': 'The key point is that daily spending is linked to deadline number 1, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6978543400764465, 'neutral': 0.30021142959594727, 'contradiction': 0.001934243948198855}}]"
"[{'claim': 'The key point is that mauryan empire overview is linked to recommended action number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9677709937095642, 'contradiction': 0.03163417428731918, 'entailment': 0.0005948609905317426}}]"
"[{'claim': 'The key point is that final revision is linked to causal factor number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8310311436653137, 'entailment': 0.10020621865987778, 'contradiction': 0.0687626376748085}}]"
"[{'claim': 'The key point is that auto scaling is linked to increase number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7516882419586182, 'entailment': 0.20845603942871094, 'contradiction': 0.03985564038157463}}]"
"[{'claim': 'The key point is that credit score benchmark is linked to guideline number 15.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7188350558280945, 'entailment': 0.19928522408008575, 'contradiction': 0.08187969028949738}}]"
"[{'claim': 'The key point is that notice period is not linked to deadline number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9955463409423828, 'neutral': 0.0037140038330107927, 'entailment': 0.0007395576685667038}}]"
"[{'claim': 'The key point is that water quality policy is linked to threshold number 8, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9100308418273926, 'neutral': 0.08897387236356735, 'contradiction': 0.0009952853433787823}}]"
"[{'claim': 'The key point is that conversion rate workflow is linked to increase number 6, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6246799230575562, 'entailment': 0.3532477915287018, 'contradiction': 0.02207227610051632}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that solar adoption is linked to threshold number 15, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.849759578704834, 'neutral': 0.14855140447616577, 'contradiction': 0.0016890044789761305}}]"
"[{'claim': 'Since hypertension overview mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9639089107513428, 'contradiction': 0.026982467621564865, 'entailment': 0.009108619764447212}}]"
"[{'claim': 'Since spices mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.969131588935852, 'contradiction': 0.025651250034570694, 'entailment': 0.005217174533754587}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that indexing is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999336302280426, 'neutral': 0.00045150768710300326, 'entailment': 0.00021214659500401467}}]"
"[{'claim': 'The key point is that conversion rate guidance is linked to comparison number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9636459946632385, 'contradiction': 0.03573960065841675, 'entailment': 0.0006143172504380345}}]"
"[{'claim': 'Since portion control mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9667628407478333, 'contradiction': 0.024391135200858116, 'entailment': 0.008846047334372997}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that portion control is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993578791618347, 'neutral': 0.0005309667903929949, 'entailment': 0.00011118879046989605}}]"
"[{'claim': 'Since asthma workflow mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9695714116096497, 'contradiction': 0.024791259318590164, 'entailment': 0.005637269467115402}}]"
"[{'claim': 'The key point is that statistics guidance is linked to deadline number 17, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5673601031303406, 'neutral': 0.423454612493515, 'contradiction': 0.00918529648333788}}]"
"[{'claim': 'The key point is that overfitting is linked to causal factor number 16, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8674194812774658, 'neutral': 0.13148467242717743, 'contradiction': 0.0010958438506349921}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that spices is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993695616722107, 'neutral': 0.00042600472806952894, 'entailment': 0.00020439267973415554}}]"
"[{'claim': 'The key point is that baking policy is linked to guideline number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8487797379493713, 'entailment': 0.10768448561429977, 'contradiction': 0.04353579133749008}}]"
"[{'claim': 'The key point is that fiber overview is linked to comparison number 3, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9367378950119019, 'contradiction': 0.06274641305208206, 'entailment': 0.0005156585248187184}}]"
"[{'claim': 'The key point is that index funds overview is not linked to guideline number 16; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987003803253174, 'neutral': 0.0008497027447447181, 'entailment': 0.0004498587513808161}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since record keeping workflow mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9426340460777283, 'contradiction': 0.040825650095939636, 'entailment': 0.01654033362865448}}]"
"[{'claim': 'The key point is that itinerary overview is linked to threshold number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7656312584877014, 'contradiction': 0.125303715467453, 'entailment': 0.10906506329774857}}]"
"[{'claim': 'The key point is that emergency contacts is linked to threshold number 17, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7769297361373901, 'neutral': 0.22036951780319214, 'contradiction': 0.002700773300603032}}]"
"[{'claim': 'The key point is that set pieces is linked to comparison number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6328775882720947, 'entailment': 0.3166535794734955, 'contradiction': 0.05046885088086128}}]"
"[{'claim': 'The key point is that anemia benchmark is linked to causal factor number 7, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8196996450424194, 'neutral': 0.17781302332878113, 'contradiction': 0.0024872601497918367}}]"
"[{'claim': 'The key point is that latency is linked to guideline number 1, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5787221193313599, 'entailment': 0.31918200850486755, 'contradiction': 0.10209590196609497}}]"
"[{'claim': 'The key point is that contamination is linked to comparison number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7931849956512451, 'entailment': 0.13835693895816803, 'contradiction': 0.06845802068710327}}]"
"[{'claim': 'The key point is that solar adoption overview is linked to causal factor number 13.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8576256632804871, 'contradiction': 0.09280457347631454, 'entailment': 0.049569834023714066}}]"
"[{'claim': 'The key point is that contamination policy is not linked to guideline number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996834993362427, 'neutral': 0.00016642722766846418, 'entailment': 0.0001500738289905712}}]"
"[{'claim': 'The key point is that record keeping guidance is linked to guideline number 1, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8753272891044617, 'neutral': 0.12341737747192383, 'contradiction': 0.0012553205015137792}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that loan repayment is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999524712562561, 'neutral': 0.00031548121478408575, 'entailment': 0.00015977781731635332}}]"
"[{'claim': 'The key point is that inventory turnover policy is linked to guideline number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6224298477172852, 'entailment': 0.3599480390548706, 'contradiction': 0.017622077837586403}}]"
"[{'claim': 'The key point is that possession policy is not linked to recommended action number 5; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991297125816345, 'neutral': 0.0004807134682778269, 'entailment': 0.0003895738045684993}}]"
"[{'claim': 'The key point is that world war II policy is linked to increase number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8207738399505615, 'entailment': 0.1477680504322052, 'contradiction': 0.031458161771297455}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that latency is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994206428527832, 'neutral': 0.0004310558142606169, 'entailment': 0.00014831328007858247}}]"
"[{'claim': 'The key point is that market positioning is not linked to increase number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9946874380111694, 'neutral': 0.004340867977589369, 'entailment': 0.0009717696812003851}}]"
"[{'claim': 'The key point is that refund policy overview is linked to recommended action number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9366179704666138, 'contradiction': 0.061860572546720505, 'entailment': 0.0015215276507660747}}]"
"[{'claim': 'The key point is that storage temperature is linked to comparison number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9169134497642517, 'contradiction': 0.0433485321700573, 'entailment': 0.03973797708749771}}]"
"[{'claim': 'Since baking mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8969160318374634, 'contradiction': 0.08717071264982224, 'entailment': 0.01591317169368267}}]"
"[{'claim': 'The key point is that world war II is linked to procedure number 7, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7865009307861328, 'neutral': 0.19201037287712097, 'contradiction': 0.021488767117261887}}]"
"[{'claim': 'Since photosynthesis mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.85050368309021, 'contradiction': 0.12901778519153595, 'entailment': 0.020478518679738045}}]"
"[{'claim': 'The key point is that daily spending is linked to procedure number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8674852252006531, 'entailment': 0.09851743280887604, 'contradiction': 0.033997323364019394}}]"
"[{'claim': 'The key point is that win rate overview is linked to decrease number 7, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6524192094802856, 'entailment': 0.30379512906074524, 'contradiction': 0.04378566890954971}}]"
"[{'claim': 'The key point is that itinerary benchmark is linked to decrease number 1, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8917204737663269, 'entailment': 0.08507988601922989, 'contradiction': 0.02319960668683052}}]"
"[{'claim': 'The key point is that machine learning workflow is not linked to guideline number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9983779191970825, 'neutral': 0.0011165456380695105, 'entailment': 0.0005056197405792773}}]"
"[{'claim': 'The key point is that market positioning is linked to warning sign number 2, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9147263765335083, 'neutral': 0.08424973487854004, 'contradiction': 0.0010238407412543893}}]"
"[{'claim': 'The key point is that spices is linked to decrease number 6, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9010691046714783, 'neutral': 0.0978129580616951, 'contradiction': 0.0011179149150848389}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that research methods workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993115663528442, 'neutral': 0.0006020326400175691, 'entailment': 8.637612336315215e-05}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that influenza is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987327456474304, 'neutral': 0.0010810039239004254, 'entailment': 0.00018622141215018928}}]"
"[{'claim': 'The key point is that type 2 diabetes is not linked to causal factor number 2; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987142086029053, 'neutral': 0.0008315453305840492, 'entailment': 0.00045437569497153163}}]"
"[{'claim': 'The key point is that force and motion guidance is linked to recommended action number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5994839072227478, 'entailment': 0.3748863637447357, 'contradiction': 0.02562977932393551}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that research methods is linked to warning sign number 11.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8376902937889099, 'entailment': 0.1263154000043869, 'contradiction': 0.035994332283735275}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since overfitting mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.967073917388916, 'contradiction': 0.025458509102463722, 'entailment': 0.007467588409781456}}]"
"[{'claim': 'The key point is that stamina is linked to decrease number 13, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9425942301750183, 'contradiction': 0.0562397725880146, 'entailment': 0.0011660665040835738}}]"
"[{'claim': 'The key point is that API rate limiting is linked to threshold number 15, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7589901685714722, 'neutral': 0.23748843371868134, 'contradiction': 0.003521402832120657}}]"
"[{'claim': 'Since particulate matter benchmark mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9139035940170288, 'contradiction': 0.06606357544660568, 'entailment': 0.02003288082778454}}]"
"[{'claim': 'The key point is that climate patterns is linked to guideline number 12.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6162453889846802, 'entailment': 0.3422015905380249, 'contradiction': 0.041553087532520294}}]"
"[{'claim': 'Since emergency contacts mentions a follow-up action, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.959457516670227, 'contradiction': 0.03299316391348839, 'entailment': 0.007549254223704338}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that industrial revolution guidance is linked to increase number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7666997909545898, 'entailment': 0.14774969220161438, 'contradiction': 0.08555058389902115}}]"
"[{'claim': 'The key point is that influenza is linked to decrease number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8874961137771606, 'contradiction': 0.05748458951711655, 'entailment': 0.05501934140920639}}]"
"[{'claim': 'The key point is that notice period is linked to comparison number 2.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7920529246330261, 'entailment': 0.18538080155849457, 'contradiction': 0.02256627380847931}}]"
"[{'claim': 'The key point is that carbon emissions is linked to increase number 9.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5707092881202698, 'neutral': 0.41808924078941345, 'contradiction': 0.011201449669897556}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that notice period is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9981277585029602, 'neutral': 0.001624042633920908, 'entailment': 0.00024825858417898417}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that latency benchmark is not linked to deadline number 16; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999473512172699, 'neutral': 0.00030640550539828837, 'entailment': 0.00022007514780852944}}]"
"[{'claim': 'The key point is that copyright overview is not linked to decrease number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9979690909385681, 'neutral': 0.001257504802197218, 'entailment': 0.0007734359242022038}}]"
"[{'claim': 'The key point is that machine learning is not linked to decrease number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9944638609886169, 'neutral': 0.004184451885521412, 'entailment': 0.0013517298502847552}}]"
"[{'claim': 'The key point is that monthly expenses guidance is linked to deadline number 2, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7226567268371582, 'entailment': 0.25721073150634766, 'contradiction': 0.020132578909397125}}]"
"[{'claim': 'The key point is that feature prioritization policy is not linked to procedure number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994900226593018, 'neutral': 0.00027496187249198556, 'entailment': 0.0002349537389818579}}]"
"[{'claim': 'The key point is that market positioning is linked to decrease number 8, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.745472252368927, 'neutral': 0.2433214783668518, 'contradiction': 0.011206274852156639}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that pressing policy is not linked to deadline number 8; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9951733946800232, 'neutral': 0.0042193979024887085, 'entailment': 0.0006071407115086913}}]"
"[{'claim': 'The key point is that auto scaling is linked to procedure number 17, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9021900296211243, 'contradiction': 0.09726554900407791, 'entailment': 0.000544367590919137}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that civil rights overview is linked to comparison number 6, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6263705492019653, 'entailment': 0.29615098237991333, 'contradiction': 0.07747849076986313}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that daily spending is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989469647407532, 'neutral': 0.000844543450511992, 'entailment': 0.00020856007176917046}}]"
"[{'claim': 'The key point is that asthma is linked to procedure number 5.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5977303981781006, 'entailment': 0.3534480035305023, 'contradiction': 0.048821669071912766}}]"
"[{'claim': 'The key point is that statistics benchmark is linked to guideline number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8806840181350708, 'contradiction': 0.11866387724876404, 'entailment': 0.0006520726601593196}}]"
"[{'claim': 'The key point is that latency is linked to warning sign number 5, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6203359961509705, 'entailment': 0.3459678888320923, 'contradiction': 0.03369615226984024}}]"
"[{'claim': 'The key point is that emergency contacts is linked to recommended action number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6832550764083862, 'entailment': 0.2941884696483612, 'contradiction': 0.022556450217962265}}]"
"[{'claim': 'The key point is that force and motion overview is linked to comparison number 11, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9069083333015442, 'neutral': 0.0906195417046547, 'contradiction': 0.002472205786034465}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that loan repayment guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994481205940247, 'neutral': 0.0003565270162653178, 'entailment': 0.0001954125618794933}}]"
"[{'claim': 'The key point is that data retention is linked to causal factor number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9418371319770813, 'contradiction': 0.057450681924819946, 'entailment': 0.0007121128728613257}}]"
"[{'claim': 'The key point is that refund policy policy is linked to deadline number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6350517272949219, 'entailment': 0.3207601308822632, 'contradiction': 0.04418819397687912}}]"
"[{'claim': 'The key point is that daily spending is linked to deadline number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.537148654460907, 'entailment': 0.4429364800453186, 'contradiction': 0.019914895296096802}}]"
"[{'claim': 'Since final revision policy mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.972264289855957, 'contradiction': 0.02423296868801117, 'entailment': 0.003502716077491641}}]"
"[{'claim': 'The key point is that portion control is linked to decrease number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5853051543235779, 'entailment': 0.37149760127067566, 'contradiction': 0.04319727420806885}}]"
"[{'claim': 'Since index funds mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9482455849647522, 'contradiction': 0.03744789958000183, 'entailment': 0.01430656760931015}}]"
"[{'claim': 'Since linear algebra workflow mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9752941131591797, 'contradiction': 0.019604507833719254, 'entailment': 0.005101471673697233}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that linear algebra is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9986400008201599, 'neutral': 0.0011481253895908594, 'entailment': 0.00021186356025282294}}]"
"[{'claim': 'The key point is that hypertension is not linked to deadline number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9953407049179077, 'neutral': 0.003889994928613305, 'entailment': 0.0007693108054809272}}]"
"[{'claim': 'The key point is that asthma overview is not linked to recommended action number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994124174118042, 'entailment': 0.00030578195583075285, 'neutral': 0.0002817070344462991}}]"
"[{'claim': 'The key point is that protein intake guidance is linked to causal factor number 11, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6800606846809387, 'entailment': 0.280534952878952, 'contradiction': 0.03940436989068985}}]"
"[{'claim': 'The key point is that credit score is linked to decrease number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5577001571655273, 'entailment': 0.41601893305778503, 'contradiction': 0.02628094144165516}}]"
"[{'claim': 'The key point is that world war II is not linked to warning sign number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9988538026809692, 'neutral': 0.0007667984464205801, 'entailment': 0.00037934110150672495}}]"
"[{'claim': 'The key point is that research methods policy is not linked to increase number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9945312142372131, 'neutral': 0.003992723301053047, 'entailment': 0.0014760219492018223}}]"
"[{'claim': 'The key point is that overfitting overview is linked to deadline number 10, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9696411490440369, 'contradiction': 0.029384106397628784, 'entailment': 0.0009747287258505821}}]"
"[{'claim': 'The key point is that recycling benchmark is linked to increase number 6, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6544600129127502, 'entailment': 0.17863762378692627, 'contradiction': 0.16690237820148468}}]"
"[{'claim': 'The key point is that industrial revolution workflow is linked to threshold number 5, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8929589986801147, 'neutral': 0.10203374177217484, 'contradiction': 0.005007230676710606}}]"
"[{'claim': 'The key point is that water quality workflow is linked to deadline number 11, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.538576066493988, 'entailment': 0.3995194733142853, 'contradiction': 0.061904389411211014}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that API rate limiting guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991863369941711, 'neutral': 0.0006890300428494811, 'entailment': 0.00012462795712053776}}]"
"[{'claim': 'The key point is that copyright is linked to warning sign number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7636299729347229, 'entailment': 0.22027339041233063, 'contradiction': 0.01609659381210804}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since credit score guidance mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9080744981765747, 'contradiction': 0.0795164704322815, 'entailment': 0.012408970855176449}}]"
"[{'claim': 'Since industrial revolution policy mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9789354205131531, 'contradiction': 0.015146770514547825, 'entailment': 0.0059179323725402355}}]"
"[{'claim': 'The key point is that termination is linked to recommended action number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8779237270355225, 'contradiction': 0.1211322695016861, 'entailment': 0.0009439829154871404}}]"
"[{'claim': 'The key point is that reaction rate overview is linked to increase number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8936341404914856, 'contradiction': 0.06266266852617264, 'entailment': 0.04370318353176117}}]"
"[{'claim': 'Since photosynthesis overview mentions a estimated cost, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9778633117675781, 'contradiction': 0.018960697576403618, 'entailment': 0.0031760954298079014}}]"
"[{'claim': 'The key point is that research methods is linked to increase number 13.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8293275237083435, 'entailment': 0.13784430921077728, 'contradiction': 0.03282809257507324}}]"
"[{'claim': 'The key point is that recovery is linked to threshold number 9, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5813902020454407, 'neutral': 0.40100929141044617, 'contradiction': 0.01760048046708107}}]"
"[{'claim': 'The key point is that conversion rate is linked to guideline number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8656806349754333, 'entailment': 0.10844288766384125, 'contradiction': 0.025876497849822044}}]"
