id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label,retrieval_score,retrieval_label,predicted_failure
149,History,culture,trade routes,"According to the provided context, what is the key point about trade routes?",The source says that trade routes is linked to deadline number 17. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to deadline number 17, and the passage also mentions a risk factor.","The key point is that trade routes is linked to deadline number 17, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that trade routes is linked to deadline number 17, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9188891649246216, 'neutral': 0.07937275618314743, 'contradiction': 0.001738114282488823}}]",SUPPORTED,0.6777007143017324,BAD,Retrieval Failure
150,Business,marketing,customer retention,Which detail is supported by the context for customer retention?,The source says that customer retention is linked to increase number 5. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the marketing use case.,"The key point is that customer retention is linked to increase number 5, and the passage also mentions a risk factor.","Since customer retention mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since customer retention mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6453592777252197, 'contradiction': 0.3189532160758972, 'entailment': 0.035687509924173355}}]",UNSUPPORTED,0.4308353590411989,BAD,Retrieval Failure
151,Legal,privacy,data retention guidance,What is the correct answer regarding data retention guidance?,The passage states that data retention guidance is linked to decrease number 16. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention guidance is linked to decrease number 16, and the passage also mentions a best practice.","The key point is that data retention guidance is linked to decrease number 16, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that data retention guidance is linked to decrease number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9433750510215759, 'contradiction': 0.05580601096153259, 'entailment': 0.0008188836509361863}}]",UNSUPPORTED,0.8532223213047376,GOOD,Hallucination
152,Travel,safety,emergency contacts,"According to the provided context, what is the key point about emergency contacts?",The evidence shows that emergency contacts is linked to comparison number 11. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to comparison number 11, and the passage also mentions a priority order.","The key point is that emergency contacts is linked to comparison number 11, and the passage also mentions a priority order.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that emergency contacts is linked to comparison number 11, and the passage also mentions a priority order.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8358374834060669, 'neutral': 0.16097255051136017, 'contradiction': 0.0031899851746857166}}]",SUPPORTED,0.7533573689772086,GOOD,No Failure
153,Business,strategy,market positioning guidance,What is the correct answer regarding market positioning guidance?,The context indicates that market positioning guidance is linked to deadline number 2. A time window is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning guidance is linked to deadline number 2, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.7919735048446817,GOOD,Missing Context
154,Travel,budget travel,daily spending,"According to the provided context, what is the key point about daily spending?",The context indicates that daily spending is linked to guideline number 1. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to guideline number 1, and the passage also mentions a follow-up action.","The key point is that daily spending is linked to guideline number 1, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that daily spending is linked to guideline number 1, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6223374605178833, 'neutral': 0.361684113740921, 'contradiction': 0.01597842574119568}}]",SUPPORTED,0.7921929381134598,GOOD,No Failure
155,Finance,budgeting,monthly expenses policy,"According to the provided context, what is the key point about monthly expenses policy?",The passage states that monthly expenses policy is linked to causal factor number 2. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses policy is linked to causal factor number 2, and the passage also mentions a risk factor.","The key point is that monthly expenses policy is linked to causal factor number 2, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that monthly expenses policy is linked to causal factor number 2, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7813577055931091, 'neutral': 0.21673046052455902, 'contradiction': 0.0019117812626063824}}]",SUPPORTED,0.8140946702416068,GOOD,No Failure
156,Legal,employment,notice period,What is the correct answer regarding notice period?,The evidence shows that notice period is linked to comparison number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period is linked to comparison number 3, and the passage also mentions a best practice.","The key point is that notice period is not linked to comparison number 3; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that notice period is not linked to comparison number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995362758636475, 'neutral': 0.00026111898478120565, 'entailment': 0.00020264199702069163}}]",CONTRADICTED,0.8275916505941259,GOOD,Hallucination
157,Finance,budgeting,monthly expenses,"According to the provided context, what is the key point about monthly expenses?",The evidence shows that monthly expenses is linked to procedure number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses is linked to procedure number 4, and the passage also mentions a weekly review.","The key point is that monthly expenses is linked to procedure number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that monthly expenses is linked to procedure number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6551380753517151, 'neutral': 0.31991150975227356, 'contradiction': 0.024950414896011353}}]",SUPPORTED,0.608447045676952,BAD,Retrieval Failure
158,Environment,waste,recycling guidance,Summarize the main fact about recycling guidance from the passage.,The evidence shows that recycling guidance is linked to decrease number 11. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling guidance is linked to decrease number 11, and the passage also mentions a best practice.","The key point is that recycling guidance is linked to decrease number 11, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that recycling guidance is linked to decrease number 11, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7967581748962402, 'neutral': 0.1997707039117813, 'contradiction': 0.003471095347777009}}]",SUPPORTED,0.850941265954821,GOOD,No Failure
159,Travel,budget travel,daily spending workflow,Summarize the main fact about daily spending workflow from the passage.,The context indicates that daily spending workflow is linked to comparison number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending workflow is linked to comparison number 15, and the passage also mentions a risk factor.","The key point is that daily spending workflow is linked to comparison number 15, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that daily spending workflow is linked to comparison number 15, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9347792267799377, 'neutral': 0.06432057917118073, 'contradiction': 0.0009002041188068688}}]",SUPPORTED,0.7862653857040847,GOOD,No Failure
160,Sports,statistics,win rate,What is the correct answer regarding win rate?,The passage states that win rate is linked to decrease number 7. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the statistics use case.,"The key point is that win rate is linked to decrease number 7, and the passage also mentions a estimated cost.","The key point is that win rate is not linked to decrease number 7; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that win rate is not linked to decrease number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9979238510131836, 'neutral': 0.001313986605964601, 'entailment': 0.0007621615077368915}}]",CONTRADICTED,0.7656828822799291,GOOD,Hallucination
161,Healthcare,prevention,influenza guidance,Summarize the main fact about influenza guidance from the passage.,The evidence shows that influenza guidance is linked to decrease number 14. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza guidance is linked to decrease number 14, and the passage also mentions a risk factor.","Since influenza guidance mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since influenza guidance mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6850731372833252, 'neutral': 0.2872742712497711, 'entailment': 0.027652636170387268}}]",CONTRADICTED,0.8293116479875582,GOOD,Hallucination
162,Education,assignment,research methods workflow,"According to the provided context, what is the key point about research methods workflow?",The evidence shows that research methods workflow is linked to guideline number 7. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods workflow is linked to guideline number 7, and the passage also mentions a exception clause.","The key point is that research methods workflow is linked to guideline number 7, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that research methods workflow is linked to guideline number 7, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8964802026748657, 'neutral': 0.10151772946119308, 'contradiction': 0.0020021230448037386}}]",SUPPORTED,0.8094894835676792,GOOD,No Failure
163,Business,operations,inventory turnover guidance,Summarize the main fact about inventory turnover guidance from the passage.,The source says that inventory turnover guidance is linked to guideline number 10. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover guidance is linked to guideline number 10, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.858052708353883,GOOD,Missing Context
164,Legal,privacy,data retention benchmark,Which detail is supported by the context for data retention benchmark?,The source says that data retention benchmark is linked to threshold number 13. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention benchmark is linked to threshold number 13, and the passage also mentions a risk factor.","Since data retention benchmark mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket,"[{'claim': 'Since data retention benchmark mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9726254940032959, 'contradiction': 0.018937479704618454, 'entailment': 0.008437029086053371}}]",UNSUPPORTED,0.8033356760159174,GOOD,Hallucination
165,Finance,banking,loan repayment,What is the correct answer regarding loan repayment?,The document explains that loan repayment is linked to increase number 14. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment is linked to increase number 14, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.5279124415168726,BAD,Missing Context
166,Finance,tax,capital gains,What is the correct answer regarding capital gains?,The document explains that capital gains is linked to causal factor number 8. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to causal factor number 8, and the passage also mentions a risk factor.","The key point is that capital gains is linked to causal factor number 8, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that capital gains is linked to causal factor number 8, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6484176516532898, 'neutral': 0.3506685495376587, 'entailment': 0.0009137889137491584}}]",CONTRADICTED,0.4763805414998892,BAD,Retrieval Failure
167,Education,exam prep,linear algebra benchmark,"According to the provided context, what is the key point about linear algebra benchmark?",The evidence shows that linear algebra benchmark is linked to threshold number 1. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra benchmark is linked to threshold number 1, and the passage also mentions a risk factor.","The key point is that linear algebra benchmark is not linked to threshold number 1; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that linear algebra benchmark is not linked to threshold number 1; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995365142822266, 'neutral': 0.00023858106578700244, 'entailment': 0.0002249149838462472}}]",CONTRADICTED,0.8131106585385597,GOOD,Hallucination
168,Education,exam prep,linear algebra policy,"According to the provided context, what is the key point about linear algebra policy?",The document explains that linear algebra policy is linked to guideline number 9. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra policy is linked to guideline number 9, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.6914156212895697,BAD,Missing Context
169,Travel,transport,rail schedules,Which detail is supported by the context for rail schedules?,The source says that rail schedules is linked to decrease number 4. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to decrease number 4, and the passage also mentions a follow-up action.","The key point is that rail schedules is linked to decrease number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that rail schedules is linked to decrease number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6390513181686401, 'neutral': 0.33866727352142334, 'contradiction': 0.022281428799033165}}]",SUPPORTED,0.6467813703230416,BAD,Retrieval Failure
170,History,leader,mauryan empire,Which detail is supported by the context for mauryan empire?,The source says that mauryan empire is linked to causal factor number 4. A required step is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to causal factor number 4, and the passage also mentions a required step.","Since mauryan empire mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since mauryan empire mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9603337049484253, 'contradiction': 0.031617697328329086, 'entailment': 0.008048554882407188}}]",UNSUPPORTED,0.785325056501204,GOOD,Hallucination
171,Sports,player performance,stamina policy,"According to the provided context, what is the key point about stamina policy?",The evidence shows that stamina policy is linked to comparison number 4. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina policy is linked to comparison number 4, and the passage also mentions a priority order.","The key point is that stamina policy is not linked to comparison number 4; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that stamina policy is not linked to comparison number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995718598365784, 'neutral': 0.00021501447190530598, 'entailment': 0.0002131866494892165}}]",CONTRADICTED,0.8033635218834929,GOOD,Hallucination
172,History,culture,trade routes guidance,What does the document say about trade routes guidance?,The evidence shows that trade routes guidance is linked to procedure number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes guidance is linked to procedure number 11, and the passage also mentions a follow-up action.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.8836488019507622,GOOD,Missing Context
173,Education,study plan,final revision guidance,What is the correct answer regarding final revision guidance?,The document explains that final revision guidance is linked to recommended action number 6. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision guidance is linked to recommended action number 6, and the passage also mentions a best practice.","The key point is that final revision guidance is linked to recommended action number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that final revision guidance is linked to recommended action number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9046884775161743, 'contradiction': 0.0947299599647522, 'entailment': 0.0005816060001961887}}]",UNSUPPORTED,0.8736279017888273,GOOD,Hallucination
174,History,culture,trade routes,What does the document say about trade routes?,The passage states that trade routes is linked to guideline number 15. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to guideline number 15, and the passage also mentions a follow-up action.","The key point is that trade routes is linked to guideline number 15, and the passage also mentions a follow-up action.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that trade routes is linked to guideline number 15, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9036890268325806, 'neutral': 0.09476279467344284, 'contradiction': 0.0015482205199077725}}]",SUPPORTED,0.8738675474020084,GOOD,No Failure
175,Science,biology,photosynthesis policy,Which detail is supported by the context for photosynthesis policy?,The source says that photosynthesis policy is linked to deadline number 14. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis policy is linked to deadline number 14, and the passage also mentions a exception clause.","The key point is that photosynthesis policy is linked to deadline number 14, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that photosynthesis policy is linked to deadline number 14, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.713709831237793, 'neutral': 0.2842200994491577, 'contradiction': 0.0020700630266219378}}]",SUPPORTED,0.7278045761144732,GOOD,No Failure
176,Technology,machine learning,overfitting guidance,What does the document say about overfitting guidance?,The context indicates that overfitting guidance is linked to warning sign number 1. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting guidance is linked to warning sign number 1, and the passage also mentions a weekly review.","The key point is that overfitting guidance is linked to warning sign number 1, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that overfitting guidance is linked to warning sign number 1, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8466121554374695, 'neutral': 0.15239018201828003, 'contradiction': 0.0009977283189073205}}]",SUPPORTED,0.8718748527521412,GOOD,No Failure
177,Education,concept,machine learning benchmark,What does the document say about machine learning benchmark?,The document explains that machine learning benchmark is linked to procedure number 5. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning benchmark is linked to procedure number 5, and the passage also mentions a priority order.","The key point is that machine learning benchmark is linked to procedure number 5, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that machine learning benchmark is linked to procedure number 5, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6602588295936584, 'contradiction': 0.270786851644516, 'entailment': 0.06895431131124496}}]",UNSUPPORTED,0.8538545939579419,GOOD,Hallucination
178,Travel,budget travel,daily spending workflow,"According to the provided context, what is the key point about daily spending workflow?",The context indicates that daily spending workflow is linked to increase number 17. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending workflow is linked to increase number 17, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.7771084206760308,GOOD,Missing Context
179,Technology,machine learning,overfitting,What does the document say about overfitting?,The context indicates that overfitting is linked to warning sign number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to warning sign number 15, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that overfitting is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article,"[{'claim': 'The answer concerns an unrelated topic and says that overfitting is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9978703260421753, 'neutral': 0.0019549408461898565, 'entailment': 0.00017478427616879344}}]",CONTRADICTED,0.893321173574414,GOOD,Hallucination
180,Travel,safety,emergency contacts,Summarize the main fact about emergency contacts from the passage.,The source says that emergency contacts is linked to increase number 8. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to increase number 8, and the passage also mentions a risk factor.","The key point is that emergency contacts is linked to increase number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that emergency contacts is linked to increase number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.47622331976890564, 'neutral': 0.36939775943756104, 'contradiction': 0.15437892079353333}}]",UNSUPPORTED,0.7797026920956516,GOOD,Hallucination
181,Environment,climate,carbon emissions,What is the correct answer regarding carbon emissions?,The document explains that carbon emissions is linked to deadline number 12. A time window is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to deadline number 12, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that carbon emissions is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that carbon emissions is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995213747024536, 'neutral': 0.00032801053021103144, 'entailment': 0.0001505637919763103}}]",CONTRADICTED,0.29393123590566744,BAD,Retrieval Failure
182,History,conflict,world war II,What is the correct answer regarding world war II?,The document explains that world war II is linked to threshold number 3. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to threshold number 3, and the passage also mentions a estimated cost.","The key point is that world war II is not linked to threshold number 3; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that world war II is not linked to threshold number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994932413101196, 'neutral': 0.00029530495521612465, 'entailment': 0.0002114309318130836}}]",CONTRADICTED,0.3629645917568162,BAD,Retrieval Failure
183,Education,learning strategy,note taking,Summarize the main fact about note taking from the passage.,The context indicates that note taking is linked to increase number 4. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking is linked to increase number 4, and the passage also mentions a verification step.","The key point is that note taking is linked to increase number 4, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that note taking is linked to increase number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9581968188285828, 'contradiction': 0.0412050262093544, 'entailment': 0.0005981321446597576}}]",UNSUPPORTED,0.6963278811200141,BAD,Retrieval Failure
184,Environment,air quality,particulate matter workflow,What does the document say about particulate matter workflow?,The evidence shows that particulate matter workflow is linked to deadline number 17. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter workflow is linked to deadline number 17, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that particulate matter workflow is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket,"[{'claim': 'The answer concerns an unrelated topic and says that particulate matter workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9988493919372559, 'neutral': 0.0010189467575401068, 'entailment': 0.00013164720439817756}}]",CONTRADICTED,0.8477040891770729,GOOD,Hallucination
185,Science,chemistry,reaction rate,What does the document say about reaction rate?,The passage states that reaction rate is linked to warning sign number 7. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to warning sign number 7, and the passage also mentions a risk factor.",The key point is that reaction rate is linked to warning sign number 7.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that reaction rate is linked to warning sign number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.910651683807373, 'entailment': 0.048005517572164536, 'contradiction': 0.041342802345752716}}]",UNSUPPORTED,0.8215785238239046,GOOD,Hallucination
186,Sports,player performance,stamina,What is the correct answer regarding stamina?,The evidence shows that stamina is linked to warning sign number 3. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina is linked to warning sign number 3, and the passage also mentions a priority order.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.4509093606182385,BAD,Missing Context
187,Finance,risk,emergency fund workflow,What is the correct answer regarding emergency fund workflow?,The source says that emergency fund workflow is linked to threshold number 10. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund workflow is linked to threshold number 10, and the passage also mentions a estimated cost.","The key point is that emergency fund workflow is linked to threshold number 10, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that emergency fund workflow is linked to threshold number 10, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7601295709609985, 'neutral': 0.23725824058055878, 'contradiction': 0.002612208016216755}}]",SUPPORTED,0.84535454331304,GOOD,No Failure
188,History,leader,mauryan empire,"According to the provided context, what is the key point about mauryan empire?",The passage states that mauryan empire is linked to threshold number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to threshold number 17, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.8065845570262666,GOOD,Missing Context
189,Education,study plan,final revision,"According to the provided context, what is the key point about final revision?",The document explains that final revision is linked to recommended action number 6. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to recommended action number 6, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that final revision is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that final revision is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994004964828491, 'neutral': 0.0004546304699033499, 'entailment': 0.0001448313269065693}}]",CONTRADICTED,0.5461161444407235,BAD,Retrieval Failure
